Merchant ID,Merchant Firm Name,Merchant Name,Address,IFSC Code,GST Number,Proprietor DOB,Gender,Occupation,Annual Turnover,Branch Code,Customer Segment,Avg Monthly Balance,Current Balance,Account Type,Tenure with Bank,Risk Rating,Product Type,Product ID,Sale Date,Sales Value/Premium,Revenue Contribution,Status,Month,Quarter,Year,Seasonality Flag,Policy Type,Policy Term
YESB53655758,Chaudhary Ventures,Manoj Rathi,"Plot 237, Udyog Vihar, Gurgaon, HR",YESB0000655,06ORRUC2969N1Z9,2000-12-05,Female,Business Owner,1931210,GGN003,SME,404767,420881,Current,7y 1m,Medium,Insurance,PROD121105,2024-08-29 00:00:00,81344,12201.6,Closed,August,Q3,2024,Regular,Health,25
YESB96970751,Sharma Trading Co,Vijay Yadav,"Plot 404, DLF Phase 1, Gurgaon, HR",YESB0000655,06VLYTB1807Y1Z9,1988-07-10,Male,Business Owner,3523026,GGN001,SME,442261,357681,Current,5y 7m,Medium,,,,,,,,,,,,
YESB58735332,Saini Solutions,Rajesh Sharma,"Plot 201, Cyber City, Gurgaon, HR",YESB0000655,06LVKFE3898V1Z3,1962-04-16,Male,Business Owner,8185787,GGN001,Corporate,2185892,1950831,Current,3y 4m,Medium,,,,,,,,,,,,
YESB71632708,Malik Trading Co,Deepak Hooda,"Plot 432, DLF Phase 1, Gurgaon, HR",YESB0000655,06DGBAV5341P1Z2,1978-09-14,Male,Business Owner,9869518,GGN005,Corporate,2752823,2264051,Current,4y 7m,Medium,,,,,,,,,,,,
YESB17147772,Malik Trading Co,Deepak Gupta,"Plot 250, Sohna Road, Gurgaon, HR",YESB0000655,06EDEPA8933F1Z1,1976-06-27,Female,Business Owner,5210239,GGN001,Corporate,1320702,1542184,Current,10y 6m,Medium,,,,,,,,,,,,
YESB45443369,Gupta Trading Co,Amit Hooda,"Plot 217, Sector 14, Gurgaon, HR",YESB0000655,06CBNII5117I1Z2,1988-11-16,Female,Business Owner,3800700,GGN001,SME,789009,841514,Current,3y 8m,Medium,,,,,,,,,,,,
YESB10899649,Verma Solutions,Deepak Chaudhary,"Plot 447, Sohna Road, Gurgaon, HR",YESB0000655,06DNGTZ3543W1Z9,1990-06-17,Male,Business Owner,9835278,GGN002,Corporate,1109419,1143065,Current,8y 7m,Medium,,,,,,,,,,,,
YESB43602127,Saini Agencies,Kuldeep Gupta,"Plot 496, Cyber City, Gurgaon, HR",YESB0000655,06AZHKH4880U1Z9,1970-12-23,Female,Business Owner,6533958,GGN001,Corporate,1625572,1752809,Current,9y 3m,Medium,,,,,,,,,,,,
YESB58582254,Yadav Solutions,Pawan Hooda,"Plot 49, Udyog Vihar, Gurgaon, HR",YESB0000655,06VVNYA2611F1Z3,1963-10-07,Male,Business Owner,6027759,GGN003,Corporate,1538604,1578636,Current,2y 0m,Medium,,,,,,,,,,,,
YESB33240761,Gupta Ventures,Vikram Hooda,"Plot 909, Cyber City, Gurgaon, HR",YESB0000655,06HWNQB7575E1Z3,1973-07-24,Female,Business Owner,2657346,GGN001,SME,702801,615394,Current,8y 5m,Medium,,,,,,,,,,,,
YESB14591486,Chaudhary Solutions,Pawan Hooda,"Plot 124, Udyog Vihar, Gurgaon, HR",YESB0000655,06VSJSI4688F1Z3,1975-03-15,Male,Business Owner,7917146,GGN005,Corporate,2343562,2282818,Current,3y 5m,Medium,Credit Card,PROD115910,2023-07-05 00:00:00,0,1500,Closed,July,Q3,2023,Regular,,
YESB85458464,Dalal Agencies,Pawan Rathi,"Plot 432, Cyber City, Gurgaon, HR",YESB0000655,06ANZYG3863Y1Z5,1974-04-24,Male,Business Owner,5163152,GGN004,Corporate,1387307,1135441,Current,3y 1m,Medium,,,,,,,,,,,,
YESB77656859,Verma Enterprises,Kuldeep Saini,"Plot 542, Sector 14, Gurgaon, HR",YESB0000655,06UAEQL5014Z1Z8,1964-10-02,Female,Business Owner,9607569,GGN004,Corporate,1855591,1917278,Current,6y 4m,Medium,Mutual Fund,PROD107311,2024-11-14 00:00:00,268674,2686.74,Pending,November,Q4,2024,Festive,,
YESB90054896,Gupta Agencies,Rajesh Hooda,"Plot 346, Udyog Vihar, Gurgaon, HR",YESB0000655,06EFCBI1925K1Z7,1988-06-02,Female,Business Owner,4198126,GGN003,SME,980176,871262,Current,6y 7m,Medium,,,,,,,,,,,,
YESB35034997,Rathi Ventures,Anil Gupta,"Plot 303, Udyog Vihar, Gurgaon, HR",YESB0000655,06MWJWE0127F1Z2,1998-12-30,Male,Business Owner,7706882,GGN001,Corporate,2065273,2058409,Current,7y 5m,Medium,,,,,,,,,,,,
YESB96031864,Gupta Agencies,Rakesh Sharma,"Plot 557, Cyber City, Gurgaon, HR",YESB0000655,06LYRGF8459Q1Z8,1987-11-02,Female,Business Owner,9595599,GGN003,Corporate,2561959,2917944,Current,9y 1m,Medium,,,,,,,,,,,,
YESB15025588,Yadav Enterprises,Deepak Rathi,"Plot 121, Sector 14, Gurgaon, HR",YESB0000655,06BTNWB1180D1Z8,1978-11-03,Male,Business Owner,1773977,GGN002,SME,260278,253765,Current,6y 4m,Medium,Credit Card,PROD117987,2023-07-08 00:00:00,0,1500,Pending,July,Q3,2023,Regular,,
YESB30477622,Hooda Solutions,Kuldeep Verma,"Plot 125, Cyber City, Gurgaon, HR",YESB0000655,06AUSAB3343R1Z7,1967-01-26,Male,Business Owner,6178793,GGN001,Corporate,1679611,1424263,Current,4y 5m,Medium,Fixed Deposit,PROD112447,2024-10-16 00:00:00,879745,4398.73,Pending,October,Q4,2024,Festive,,
YESB34814455,Chaudhary Trading Co,Rakesh Sharma,"Plot 489, Cyber City, Gurgaon, HR",YESB0000655,06DQAYZ0964B1Z2,1996-10-16,Male,Business Owner,5738873,GGN003,Corporate,662726,738343,Current,10y 10m,Medium,Fixed Deposit,PROD105064,2024-02-05 00:00:00,548918,2744.59,Active,February,Q1,2024,Regular,,
YESB29650265,Yadav Trading Co,Rakesh Gupta,"Plot 71, Cyber City, Gurgaon, HR",YESB0000655,06BYLNW8115E1Z2,1990-11-21,Male,Business Owner,2829857,GGN003,SME,747930,809957,Current,4y 4m,Medium,,,,,,,,,,,,
YESB28789268,Yadav Trading Co,Sanjay Hooda,"Plot 588, Cyber City, Gurgaon, HR",YESB0000655,06MMTMZ7414I1Z8,1968-03-20,Female,Business Owner,3850819,GGN002,SME,1142813,1255748,Current,6y 10m,Medium,Insurance,PROD121953,2023-06-18 00:00:00,231712,34756.8,Active,June,Q2,2023,Regular,Health,5
YESB44177363,Rathi Ventures,Naveen Hooda,"Plot 903, Cyber City, Gurgaon, HR",YESB0000655,06DYZIS7109O1Z3,1985-01-09,Female,Business Owner,9879376,GGN002,Corporate,2414081,2653588,Current,5y 8m,Medium,Fixed Deposit,PROD103081,2023-08-04 00:00:00,506545,2532.72,Closed,August,Q3,2023,Regular,,
YESB44177363,Rathi Ventures,Naveen Hooda,"Plot 903, Cyber City, Gurgaon, HR",YESB0000655,06DYZIS7109O1Z3,1985-01-09,Female,Business Owner,9879376,GGN002,Corporate,2414081,2653588,Current,5y 8m,Medium,Fixed Deposit,PROD124972,2024-01-01 00:00:00,670563,3352.82,Closed,January,Q1,2024,Regular,,
YESB51116358,Dalal Agencies,Vijay Verma,"Plot 707, Sector 14, Gurgaon, HR",YESB0000655,06BKRPM4537C1Z2,1981-12-12,Male,Business Owner,9274105,GGN002,Corporate,2302813,2217147,Current,4y 3m,Medium,Insurance,PROD110003,2023-12-14 00:00:00,238915,35837.25,Active,December,Q4,2023,Festive,General,16
YESB82509244,Hooda Enterprises,Sunil Rathi,"Plot 826, Sector 14, Gurgaon, HR",YESB0000655,06HFIEB6513P1Z7,1995-05-08,Male,Business Owner,4475595,GGN003,SME,1105371,1138565,Current,8y 0m,Medium,Fixed Deposit,PROD114102,2023-08-08 00:00:00,662443,3312.22,Active,August,Q3,2023,Regular,,
YESB84587607,Hooda Trading Co,Amit Saini,"Plot 991, Udyog Vihar, Gurgaon, HR",YESB0000655,06YGISA4273C1Z7,1968-07-03,Male,Business Owner,4955861,GGN001,SME,747916,689991,Current,2y 4m,Medium,Mutual Fund,PROD104582,2023-03-11 00:00:00,478415,4784.15,Active,March,Q1,2023,FY End,,
YESB84587607,Hooda Trading Co,Amit Saini,"Plot 991, Udyog Vihar, Gurgaon, HR",YESB0000655,06YGISA4273C1Z7,1968-07-03,Male,Business Owner,4955861,GGN001,SME,747916,689991,Current,2y 4m,Medium,Mutual Fund,PROD123755,2023-09-08 00:00:00,342619,3426.19,Active,September,Q3,2023,Regular,,
YESB66338986,Hooda Solutions,Manoj Hooda,"Plot 323, DLF Phase 1, Gurgaon, HR",YESB0000655,06DMEWW4078S1Z3,1971-11-15,Female,Business Owner,9247741,GGN004,Corporate,2003353,1819916,Current,5y 1m,Medium,,,,,,,,,,,,
YESB39600393,Malik Agencies,Anil Saini,"Plot 407, Sohna Road, Gurgaon, HR",YESB0000655,06MIUKT0624Z1Z8,1974-08-20,Male,Business Owner,7700898,GGN001,Corporate,1496914,1262909,Current,4y 10m,Medium,Credit Card,PROD106448,2023-07-15 00:00:00,0,1500,Closed,July,Q3,2023,Regular,,
YESB28806657,Gupta Ventures,Sandeep Hooda,"Plot 492, DLF Phase 1, Gurgaon, HR",YESB0000655,06LSXFD1325Z1Z8,1976-01-30,Female,Business Owner,4851872,GGN001,SME,1116229,1099973,Current,2y 0m,Medium,,,,,,,,,,,,
YESB98409793,Rathi Ventures,Vikram Dalal,"Plot 312, Sohna Road, Gurgaon, HR",YESB0000655,06WDPZB0414Y1Z4,1971-03-06,Female,Business Owner,3305490,GGN001,SME,825253,743528,Current,4y 1m,Medium,,,,,,,,,,,,
YESB19067472,Malik Agencies,Rajesh Rathi,"Plot 263, Udyog Vihar, Gurgaon, HR",YESB0000655,06FDODH5204J1Z0,1962-12-05,Female,Business Owner,5019169,GGN004,Corporate,1107602,1324418,Current,9y 1m,Medium,,,,,,,,,,,,
YESB29317390,Saini Solutions,Amit Malik,"Plot 16, Sector 14, Gurgaon, HR",YESB0000655,06VDTXS7268H1Z2,1977-07-17,Female,Business Owner,3433020,GGN002,SME,788769,817956,Current,8y 2m,Medium,,,,,,,,,,,,
YESB57632324,Sharma Trading Co,Sanjay Sharma,"Plot 463, Cyber City, Gurgaon, HR",YESB0000655,06LTOGG5449Y1Z2,1964-01-14,Male,Business Owner,2024933,GGN001,SME,278423,282444,Current,3y 10m,Medium,,,,,,,,,,,,
YESB57457216,Malik Enterprises,Vikram Malik,"Plot 549, Sector 14, Gurgaon, HR",YESB0000655,06KIQCF1420S1Z1,1988-01-01,Female,Business Owner,5883048,GGN003,Corporate,666413,726789,Current,7y 11m,Medium,Fixed Deposit,PROD114864,2023-09-25 00:00:00,416024,2080.12,Active,September,Q3,2023,Regular,,
YESB83769229,Saini Trading Co,Sunil Chaudhary,"Plot 716, Sohna Road, Gurgaon, HR",YESB0000655,06XFDED6699J1Z7,1996-12-28,Male,Business Owner,9430341,GGN001,Corporate,1598253,1896610,Current,8y 6m,Medium,,,,,,,,,,,,
YESB32095584,Hooda Enterprises,Sandeep Yadav,"Plot 510, Sohna Road, Gurgaon, HR",YESB0000655,06GVLHP5997Z1Z5,1969-04-05,Male,Business Owner,2416763,GGN003,SME,338024,345465,Current,9y 3m,Medium,,,,,,,,,,,,
YESB43364233,Saini Enterprises,Rajesh Yadav,"Plot 328, Cyber City, Gurgaon, HR",YESB0000655,06VWBNC6423I1Z1,1984-10-14,Male,Business Owner,4382467,GGN005,SME,838253,705644,Current,1y 1m,Medium,,,,,,,,,,,,
YESB73700332,Rathi Ventures,Sandeep Gupta,"Plot 892, Sector 14, Gurgaon, HR",YESB0000655,06BKCLV0381E1Z0,2000-08-07,Female,Business Owner,1352066,GGN003,SME,384592,415361,Current,8y 4m,Medium,,,,,,,,,,,,
YESB74098792,Saini Enterprises,Sunil Saini,"Plot 44, DLF Phase 1, Gurgaon, HR",YESB0000655,06OXEAK7955Q1Z6,1983-05-14,Male,Business Owner,1376719,GGN003,SME,388449,345943,Current,1y 4m,Medium,Insurance,PROD116507,2023-05-29 00:00:00,161695,24254.25,Closed,May,Q2,2023,Regular,General,23
YESB39989129,Dalal Solutions,Vijay Sharma,"Plot 270, DLF Phase 1, Gurgaon, HR",YESB0000655,06EILLH9192U1Z4,1972-03-31,Female,Business Owner,5531426,GGN003,Corporate,741530,801704,Current,4y 11m,Medium,Mutual Fund,PROD110654,2024-06-29 00:00:00,448706,4487.06,Closed,June,Q2,2024,Regular,,
YESB39989129,Dalal Solutions,Vijay Sharma,"Plot 270, DLF Phase 1, Gurgaon, HR",YESB0000655,06EILLH9192U1Z4,1972-03-31,Female,Business Owner,5531426,GGN003,Corporate,741530,801704,Current,4y 11m,Medium,Insurance,PROD122040,2023-07-16 00:00:00,197699,29654.85,Pending,July,Q3,2023,Regular,General,21
YESB48062031,Malik Enterprises,Sanjay Hooda,"Plot 671, Sector 14, Gurgaon, HR",YESB0000655,06NEDLA5423D1Z7,1999-05-25,Female,Business Owner,8906737,GGN001,Corporate,2250443,2538100,Current,9y 0m,Medium,Fixed Deposit,PROD101470,2024-07-27 00:00:00,920163,4600.82,Pending,July,Q3,2024,Regular,,
YESB48062031,Malik Enterprises,Sanjay Hooda,"Plot 671, Sector 14, Gurgaon, HR",YESB0000655,06NEDLA5423D1Z7,1999-05-25,Female,Business Owner,8906737,GGN001,Corporate,2250443,2538100,Current,9y 0m,Medium,Insurance,PROD101709,2023-09-14 00:00:00,148674,22301.1,Closed,September,Q3,2023,Regular,Life,12
YESB59361274,Hooda Solutions,Manoj Rathi,"Plot 786, Sohna Road, Gurgaon, HR",YESB0000655,06CWEFK9245Z1Z3,1980-11-09,Female,Business Owner,5615022,GGN002,Corporate,929157,963729,Current,5y 4m,Medium,,,,,,,,,,,,
YESB53454637,Rathi Trading Co,Rakesh Gupta,"Plot 777, Sector 14, Gurgaon, HR",YESB0000655,06LCSTS2280L1Z0,1966-07-24,Female,Business Owner,9636209,GGN004,Corporate,2281367,1986729,Current,7y 10m,Medium,Credit Card,PROD122129,2023-05-24 00:00:00,0,1500,Active,May,Q2,2023,Regular,,
YESB29547143,Verma Trading Co,Rakesh Chaudhary,"Plot 650, Cyber City, Gurgaon, HR",YESB0000655,06GMHBG9548K1Z0,1995-05-25,Female,Business Owner,7859492,GGN001,Corporate,1581796,1395724,Current,6y 3m,Medium,,,,,,,,,,,,
YESB47853505,Malik Enterprises,Vikram Chaudhary,"Plot 243, Sohna Road, Gurgaon, HR",YESB0000655,06LPGQI3480W1Z1,1999-11-06,Female,Business Owner,9584001,GGN002,Corporate,1074255,1283211,Current,3y 0m,Medium,Insurance,PROD123656,2023-06-17 00:00:00,174504,26175.6,Closed,June,Q2,2023,Regular,General,15
YESB61601793,Dalal Solutions,Sunil Malik,"Plot 482, Sector 14, Gurgaon, HR",YESB0000655,06ZWJNE5955P1Z9,1985-01-10,Male,Business Owner,9759880,GGN001,Corporate,1412332,1276726,Current,7y 1m,Medium,Mutual Fund,PROD106352,2023-03-13 00:00:00,100503,1005.03,Closed,March,Q1,2023,FY End,,
