Customer ID,first_name,last_name,email,city,credit_score,created_at,Date of Birth,Gender,Occupation,Annual Income,Branch Code,Customer Segment,Avg Monthly Balance,Current Balance,Account Type,Tenure with Bank,Risk Rating,Product Type,Product ID,Sale Date,Sales Value/Premium,Revenue Contribution,Status,Month,Quarter,Year,Seasonality Flag,Policy Type,Policy Term
YESB84614736,Dalbir,Lather,ajay.gehlot792@yahoo.com,"H.No 1316, Main Market, Ambala, Haryana",327,2025-04-17,1968-04-01,Male,Lawyer,2286640,GGN003,High Net Worth,394569,315872,Salary,7y 8m,High,,,,,,,,,,,,
YESB99725313,Priyanka,Bhardwaj,ankit.singhal982@gmail.com,"H.No 979, VPO Kharkhoda, Panipat, Haryana",644,2020-02-23,1982-08-22,Female,Teacher,1096246,GGN003,Retail,113830,107717,Salary,14y 1m,Medium,,,,,,,,,,,,
YESB19524268,Parveen,Verma,ram.punia460@gmail.com,"H.No 584, Model Town, Rohtak, Haryana",670,2025-06-22,1970-04-19,Female,Freelancer,919100,GGN002,Retail,67917,78916,Savings,15y 0m,Medium,Insurance,PROD101849,2024-03-12 00:00:00,202530,30379.5,Closed,March,Q1,2024,FY End,Health,9
YESB19524268,Parveen,Verma,ram.punia460@gmail.com,"H.No 584, Model Town, Rohtak, Haryana",670,2025-06-22,1970-04-19,Female,Freelancer,919100,GGN002,Retail,67917,78916,Savings,15y 0m,Medium,Mutual Fund,PROD109120,2023-12-24 00:00:00,445167,4451.67,Active,December,Q4,2023,Festive,,
YESB19524268,Parveen,Verma,ram.punia460@gmail.com,"H.No 584, Model Town, Rohtak, Haryana",670,2025-06-22,1970-04-19,Female,Freelancer,919100,GGN002,Retail,67917,78916,Savings,15y 0m,Medium,Credit Card,PROD111481,2023-11-04 00:00:00,0,1500,Closed,November,Q4,2023,Festive,,
YESB15344484,Balbir,Jat,pooja.gehlot635@yahoo.com,"H.No 802, Railway Road, Faridabad, Haryana",573,2019-10-20,1959-03-28,Male,Farmer,780284,GGN002,SME,68488,82021,Salary,8y 10m,Medium,,,,,,,,,,,,
YESB90909866,Jaipal,Dahiya,mohit.singhal277@hotmail.com,"H.No 24, Railway Road, Sonipat, Haryana",332,2022-07-16,1953-07-22,Female,Private Job,2244401,GGN003,High Net Worth,384636,317676,Savings,8y 7m,High,,,,,,,,,,,,
YESB48009018,Parveen,Pandey,sanjay.dhankar394@icloud.com,"H.No 30, VPO Kalanaur, Rewari, Haryana",569,2025-07-22,1965-12-13,Female,Business Owner,604519,GGN003,SME,37579,35576,Savings,1y 8m,Medium,,,,,,,,,,,,
YESB93478502,Om,Dahiya,om.lamba78@icloud.com,"H.No 230, VPO Meham, Rewari, Haryana",694,2023-04-13,1975-07-03,Female,Business Owner,2098760,GGN004,High Net Worth,370574,358323,Salary,8y 9m,Medium,,,,,,,,,,,,
YESB49205378,Sumit,Grewal,balbir.kaushik256@hotmail.com,"H.No 940, Railway Road, Nuh, Haryana",461,2024-02-02,1952-04-25,Female,Freelancer,2173308,GGN005,High Net Worth,206633,168793,Savings,12y 1m,High,,,,,,,,,,,,
YESB22994075,Pooja,Phogat,jagdish.kundu930@gmail.com,"H.No 422, Civil Lines, Ambala, Haryana",465,2025-01-18,1954-11-11,Male,Engineer,1334339,GGN001,SME,258094,242055,Savings,6y 1m,High,,,,,,,,,,,,
YESB37600555,Jitender,Kundu,yogesh.rana284@icloud.com,"H.No 679, Civil Lines, Sirsa, Haryana",380,2019-12-17,2005-06-26,Male,Engineer,730951,GGN003,SME,47836,56186,Savings,5y 6m,High,,,,,,,,,,,,
YESB59137757,Ram,Mishra,jitender.gehlot462@yahoo.com,"H.No 664, VPO Kalanaur, Bhiwani, Haryana",505,2022-06-30,1962-12-11,Female,Consultant,721851,GGN001,Retail,98081,88545,Savings,11y 8m,Medium,,,,,,,,,,,,
YESB37169446,Ashok,Grewal,satish.yadav173@yahoo.com,"H.No 380, Civil Lines, Rewari, Haryana",360,2021-07-26,1993-10-02,Male,Consultant,1485383,GGN004,Retail,143663,115205,Savings,13y 9m,High,,,,,,,,,,,,
YESB13245037,Rahul,Verma,pooja.chaudhary160@yahoo.com,"H.No 1159, Main Market, Sirsa, Haryana",716,2021-02-18,1952-05-25,Male,Government Employee,1145937,GGN003,Retail,58736,49968,Savings,7y 4m,Medium,Loan,PROD124863,2024-12-26 00:00:00,1317415,26348.3,Active,December,Q4,2024,Festive,,
YESB71132751,Seema,Aggarwal,mohit.kundu755@icloud.com,"H.No 666, VPO Meham, Fatehabad, Haryana",496,2021-02-18,1985-06-22,Female,Business Owner,331813,GGN004,Retail,18139,21207,Salary,5y 5m,High,Credit Card,PROD121342,2024-04-18 00:00:00,0,1500,Pending,April,Q2,2024,Regular,,
YESB77678572,Sunita,Beniwal,vikas.tayal806@yahoo.com,"H.No 1189, Sector 14, Yamunanagar, Haryana",395,2021-08-26,1990-08-10,Female,Business Owner,1103098,GGN004,SME,129325,146486,Savings,3y 11m,High,,,,,,,,,,,,
YESB10400888,Vijay,Chaudhary,anil.gupta868@icloud.com,"H.No 744, Sector 14, Kurukshetra, Haryana",798,2020-09-26,1978-11-08,Male,Engineer,2386912,GGN001,High Net Worth,417202,379620,Savings,7y 10m,Low,Mutual Fund,PROD115529,2023-06-20 00:00:00,244973,2449.73,Active,June,Q2,2023,Regular,,
YESB20868025,Balbir,Ahlawat,mohit.tanwar345@yahoo.com,"H.No 1238, Sector 14, Hisar, Haryana",490,2019-10-08,1970-06-25,Female,Private Job,1450599,GGN004,Retail,259633,271846,Savings,5y 11m,High,,,,,,,,,,,,
YESB51295724,Surender,Yadav,neeraj.grewal570@yahoo.com,"H.No 330, Model Town, Rewari, Haryana",509,2022-07-10,1979-04-11,Female,Consultant,371029,GGN004,Retail,24755,29576,Savings,8y 10m,Medium,,,,,,,,,,,,
YESB81095445,Meena,Bansal,kuldeep.punia714@hotmail.com,"H.No 980, VPO Kharkhoda, Fatehabad, Haryana",571,2020-06-26,1975-08-13,Male,Consultant,1956990,GGN002,High Net Worth,247877,206274,Salary,1y 8m,Medium,Loan,PROD101374,2023-06-21 00:00:00,2139167,42783.34,Active,June,Q2,2023,Regular,,
YESB73175437,Pooja,Kundu,surender.tiwari725@hotmail.com,"H.No 439, VPO Meham, Yamunanagar, Haryana",606,2020-02-29,2003-01-20,Male,Lawyer,2095254,GGN001,High Net Worth,268557,267218,Savings,11y 3m,Medium,Loan,PROD111241,2023-07-08 00:00:00,3023104,60462.08,Pending,July,Q3,2023,Regular,,
YESB35292564,Pawan,Gill,seema.panwar780@outlook.com,"H.No 1163, Main Market, Ambala, Haryana",352,2020-01-14,1972-01-08,Male,Doctor,922358,GGN005,Retail,103612,109693,Savings,11y 5m,High,,,,,,,,,,,,
YESB63556527,Om,Beniwal,sunita.lather803@gmail.com,"H.No 1459, VPO Kalanaur, Panchkula, Haryana",452,2025-02-12,1970-04-04,Male,Lawyer,1360265,GGN002,Retail,168635,135143,Savings,3y 1m,High,,,,,,,,,,,,
YESB65047135,Yogesh,Chauhan,rahul.mishra187@hotmail.com,"H.No 1459, Urban Estate, Palwal, Haryana",662,2025-04-12,1994-03-27,Male,Private Job,1029319,GGN003,Retail,71199,71546,Salary,15y 11m,Medium,,,,,,,,,,,,
YESB15140774,Sushil,Saini,jitender.grewal438@yahoo.com,"H.No 754, Railway Road, Karnal, Haryana",721,2021-10-13,1990-10-21,Male,Freelancer,2150671,GGN002,High Net Worth,142728,123284,Salary,3y 4m,Medium,Credit Card,PROD109185,2023-10-16 00:00:00,0,1500,Pending,October,Q4,2023,Festive,,
YESB88218895,Amit,Chauhan,parveen.rana885@hotmail.com,"H.No 1408, Urban Estate, Palwal, Haryana",497,2023-06-21,1997-03-09,Female,Freelancer,481004,GGN004,SME,52928,45313,Savings,5y 0m,High,,,,,,,,,,,,
YESB96430694,Sumit,Kundu,neeraj.kaushik939@gmail.com,"H.No 1414, Civil Lines, Sirsa, Haryana",571,2019-06-06,1965-06-23,Female,Business Owner,2193764,GGN001,High Net Worth,280863,231327,Savings,4y 2m,Medium,,,,,,,,,,,,
YESB89676145,Pooja,Tayal,suman.shukla170@gmail.com,"H.No 69, Model Town, Panipat, Haryana",501,2023-01-31,1978-05-25,Male,Lawyer,1376032,GGN005,SME,248822,294478,Savings,4y 0m,Medium,Fixed Deposit,PROD112005,2024-12-06 00:00:00,750856,3754.28,Pending,December,Q4,2024,Festive,,
YESB31484387,Sushil,Aggarwal,anil.chauhan662@hotmail.com,"H.No 1170, Jhajjar Road, Rewari, Haryana",496,2023-09-19,1967-05-18,Female,Private Job,1426634,GGN002,SME,237852,260663,Salary,4y 0m,High,,,,,,,,,,,,
YESB36525580,Satish,Dahiya,parveen.panchal891@hotmail.com,"H.No 60, VPO Meham, Karnal, Haryana",752,2023-12-17,1991-01-21,Female,Private Job,2210906,GGN005,High Net Worth,170071,183191,Savings,14y 7m,Low,,,,,,,,,,,,
YESB12780221,Priyanka,Bansal,sumit.tanwar350@gmail.com,"H.No 1229, Model Town, Karnal, Haryana",617,2021-07-09,1981-10-15,Female,Doctor,2473331,GGN004,High Net Worth,228405,268075,Savings,10y 2m,Medium,Mutual Fund,PROD122952,2023-05-23 00:00:00,70659,706.59,Pending,May,Q2,2023,Regular,,
YESB77340858,Balbir,Dahiya,rajesh.phogat663@outlook.com,"H.No 1218, Railway Road, Ambala, Haryana",451,2019-01-23,1952-01-05,Female,Business Owner,1864670,GGN002,High Net Worth,315226,346466,Salary,3y 1m,High,Loan,PROD106952,2023-08-27 00:00:00,3503918,70078.36,Closed,August,Q3,2023,Regular,,
YESB50573594,Dharmender,Kundu,reena.bansal284@icloud.com,"H.No 20, Model Town, Kurukshetra, Haryana",775,2024-12-15,1972-09-09,Female,Consultant,327614,GGN001,Retail,62136,65078,Savings,8y 2m,Low,Credit Card,PROD122419,2024-12-20 00:00:00,0,1500,Closed,December,Q4,2024,Festive,,
YESB59542629,Pooja,Tomar,sushil.dhankar619@outlook.com,"H.No 839, VPO Kharkhoda, Gurugram, Haryana",565,2021-10-09,1957-06-21,Female,Lawyer,1312174,GGN002,SME,201529,162260,Savings,3y 5m,Medium,,,,,,,,,,,,
YESB79146921,Ram,Dhankar,rakesh.gill967@hotmail.com,"H.No 959, Civil Lines, Rohtak, Haryana",692,2020-09-17,1966-06-18,Female,Teacher,518990,GGN004,SME,84807,82612,Savings,13y 9m,Medium,,,,,,,,,,,,
